Training Logs
[1/100]: loss_d: 1.055, loss_g: 2.065
[2/100]: loss_d: 1.110, loss_g: 1.653
[3/100]: loss_d: 1.245, loss_g: 1.405
[4/100]: loss_d: 0.820, loss_g: 1.832
[5/100]: loss_d: 0.640, loss_g: 2.332
[6/100]: loss_d: 0.651, loss_g: 2.380
[7/100]: loss_d: 0.633, loss_g: 2.385
[8/100]: loss_d: 0.664, loss_g: 2.399
[9/100]: loss_d: 0.610, loss_g: 2.428
[10/100]: loss_d: 0.556, loss_g: 2.581
[11/100]: loss_d: 0.557, loss_g: 2.634
[12/100]: loss_d: 0.536, loss_g: 2.712
[13/100]: loss_d: 0.547, loss_g: 2.712
[14/100]: loss_d: 0.555, loss_g: 2.707
[15/100]: loss_d: 0.570, loss_g: 2.631
[16/100]: loss_d: 0.640, loss_g: 2.413
[17/100]: loss_d: 0.655, loss_g: 2.285
[18/100]: loss_d: 0.689, loss_g: 2.186
[19/100]: loss_d: 0.692, loss_g: 2.186
[20/100]: loss_d: 0.700, loss_g: 2.163
[21/100]: loss_d: 0.746, loss_g: 2.035
[22/100]: loss_d: 0.756, loss_g: 1.955
[23/100]: loss_d: 0.821, loss_g: 1.869
[24/100]: loss_d: 0.791, loss_g: 1.899
[25/100]: loss_d: 0.820, loss_g: 1.817
[26/100]: loss_d: 0.899, loss_g: 1.624
[27/100]: loss_d: 0.915, loss_g: 1.629
[28/100]: loss_d: 0.898, loss_g: 1.644
[29/100]: loss_d: 0.909, loss_g: 1.621
[30/100]: loss_d: 0.906, loss_g: 1.605
[31/100]: loss_d: 0.907, loss_g: 1.636
[32/100]: loss_d: 0.925, loss_g: 1.571
[33/100]: loss_d: 0.932, loss_g: 1.576
[34/100]: loss_d: 0.936, loss_g: 1.556
[35/100]: loss_d: 0.943, loss_g: 1.506
[36/100]: loss_d: 0.970, loss_g: 1.476
[37/100]: loss_d: 0.991, loss_g: 1.418
[38/100]: loss_d: 1.013, loss_g: 1.396
[39/100]: loss_d: 1.023, loss_g: 1.361
[40/100]: loss_d: 1.050, loss_g: 1.319
[41/100]: loss_d: 1.051, loss_g: 1.306
[42/100]: loss_d: 1.069, loss_g: 1.273
[43/100]: loss_d: 1.065, loss_g: 1.300
[44/100]: loss_d: 1.062, loss_g: 1.278
[45/100]: loss_d: 1.072, loss_g: 1.267
[46/100]: loss_d: 1.067, loss_g: 1.268
[47/100]: loss_d: 1.085, loss_g: 1.235
[48/100]: loss_d: 1.099, loss_g: 1.215
[49/100]: loss_d: 1.106, loss_g: 1.185
[50/100]: loss_d: 1.113, loss_g: 1.195
[51/100]: loss_d: 1.109, loss_g: 1.188
[52/100]: loss_d: 1.127, loss_g: 1.145
[53/100]: loss_d: 1.123, loss_g: 1.162
[54/100]: loss_d: 1.125, loss_g: 1.164
[55/100]: loss_d: 1.127, loss_g: 1.146
[56/100]: loss_d: 1.135, loss_g: 1.148
[57/100]: loss_d: 1.135, loss_g: 1.142
[58/100]: loss_d: 1.139, loss_g: 1.143
[59/100]: loss_d: 1.135, loss_g: 1.131
[60/100]: loss_d: 1.133, loss_g: 1.143
[61/100]: loss_d: 1.146, loss_g: 1.122
[62/100]: loss_d: 1.154, loss_g: 1.099
[63/100]: loss_d: 1.152, loss_g: 1.103
[64/100]: loss_d: 1.156, loss_g: 1.098
[65/100]: loss_d: 1.165, loss_g: 1.090
[66/100]: loss_d: 1.158, loss_g: 1.095
[67/100]: loss_d: 1.166, loss_g: 1.088
[68/100]: loss_d: 1.165, loss_g: 1.083
[69/100]: loss_d: 1.175, loss_g: 1.070
[70/100]: loss_d: 1.181, loss_g: 1.050
[71/100]: loss_d: 1.181, loss_g: 1.055
[72/100]: loss_d: 1.180, loss_g: 1.052
[73/100]: loss_d: 1.187, loss_g: 1.048
[74/100]: loss_d: 1.193, loss_g: 1.033
[75/100]: loss_d: 1.195, loss_g: 1.033
[76/100]: loss_d: 1.201, loss_g: 1.024
[77/100]: loss_d: 1.201, loss_g: 1.021
[78/100]: loss_d: 1.211, loss_g: 0.998
[79/100]: loss_d: 1.209, loss_g: 1.014
[80/100]: loss_d: 1.197, loss_g: 1.038
[81/100]: loss_d: 1.188, loss_g: 1.062
[82/100]: loss_d: 1.188, loss_g: 1.025
[83/100]: loss_d: 1.200, loss_g: 1.020
[84/100]: loss_d: 1.216, loss_g: 1.003
[85/100]: loss_d: 1.220, loss_g: 0.999
[86/100]: loss_d: 1.208, loss_g: 1.009
[87/100]: loss_d: 1.216, loss_g: 0.998
[88/100]: loss_d: 1.208, loss_g: 1.009
[89/100]: loss_d: 1.208, loss_g: 1.034
[90/100]: loss_d: 1.201, loss_g: 1.024
[91/100]: loss_d: 1.213, loss_g: 1.001
[92/100]: loss_d: 1.218, loss_g: 0.981
[93/100]: loss_d: 1.218, loss_g: 0.988
[94/100]: loss_d: 1.225, loss_g: 0.981
[95/100]: loss_d: 1.230, loss_g: 0.975
[96/100]: loss_d: 1.227, loss_g: 0.976
[97/100]: loss_d: 1.222, loss_g: 0.995
[98/100]: loss_d: 1.227, loss_g: 0.979
[99/100]: loss_d: 1.227, loss_g: 0.990
[100/100]: loss_d: 1.229, loss_g: 0.968
Training finished! Saving training results...
